Dates	Title	Start Time	End Time	Location
12/01/2024	カービィの幽霊罠 (Kirby's Ghost Trap)	8:00	11:00	Broadcast Station
12/01/2024	ザ・シンプソンズ：バートの不思議な夢の大冒険 (The Simpsons: Bart's Nightmare)	11:00	14:00	Broadcast Station
12/01/2024	空気騎兵隊 (Air Cavalry)	14:00	17:00	Broadcast Station
12/01/2024	ジェパディー・デラックス (Jeopardy Deluxe)	17:00	20:00	Broadcast Station
12/01/2024	シムシティ　【小売版】 (SimCity [Retail ver.])	20:00	23:00	Broadcast Station
12/01/2024	毎日バスターズ　【６月７】 (Daily Busters [6/7])	8:00	23:00	News Building
12/01/2024	ＮＥＷ　３Ｄ　ＧＯＬＦ　ＳＩＭＵＬＡＴＩＯＮ：ワイアラエの奇跡　【アメリカ版】 (True Golf Classics – Waialae Country Club [EN])	11:00	23:00	Stadium
12/01/2024	カコマ☆ナイト (Cacoma Knight in Bizyland)	8:00	20:00	Bagpotamia Temple
12/01/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/01/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/02/2024	ＧＳ美神：除霊師はナイスボディー (Ghost Sweeper Mikami)	8:00	11:00	Broadcast Station
12/02/2024	ＳＤザ・グレイトバトル　新たなる挑戦 (SD The Great Battle)	11:00	14:00	Broadcast Station
12/02/2024	グールパトロール (Ghoul Patrol)	14:00	17:00	Broadcast Station
12/02/2024	スーパーアレスター (Super Aleste)	17:00	20:00	Broadcast Station
12/02/2024	ラスヴェガスドリーム (Vegas Stakes)	20:00	23:00	Broadcast Station
12/02/2024	ゲーム虎の太鼓判　【５月３１】 (Game Tora no Taikoban [5/31])	8:00	23:00	News Building
12/02/2024	ＮＥＷ　３Ｄ　ＧＯＬＦ　ＳＩＭＵＬＡＴＩＯＮ：悪魔コース　【アメリカ版】 (True Golf Classics – Wicked 18 [EN])	11:00	23:00	Stadium
12/02/2024	アルベルト　オデッセイ (Albert Odyssey)	8:00	20:00	Bagpotamia Temple
12/02/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/02/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/03/2024	ピコピコパイレーツ (Pico Pico Pirates)	8:00	11:00	Broadcast Station
12/03/2024	スーパーマリオワールド (Super Mario World)	11:00	14:00	Broadcast Station
12/03/2024	アウターワールド (Out of this World)	14:00	20:00	Broadcast Station
12/03/2024	デザエモン　ＢＳ－Ｘ版 (Dezaemon BS-X Ver.)	20:00	23:00	Broadcast Station
12/03/2024	だんだんベルトコンベヤー：牛乳の巻 (Dandan Belt Conveyor: Milk Round)	8:00	23:00	News Building
12/03/2024	チャンピオンシップ・プール (Championship Pool)	11:00	23:00	Stadium
12/03/2024	アルカナ (Arcana)	8:00	20:00	Bagpotamia Temple
12/03/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/03/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/03/2024	スーパー麻雀大海 (Super Mahjong Taikai)	8:00	23:00	Telephone Booth
12/04/2024	トップギアⅡ (Top Gear 2)	8:00	11:00	Broadcast Station
12/04/2024	ク・オン・パ　【１０月２７】 (Cu-On-Pa [10/27])	11:00	14:00	Broadcast Station
12/04/2024	クロノトリガー：ジェットバイクスペシャル (Chrono Trigger: Jet Bike Special)	14:00	17:00	Broadcast Station
12/04/2024	ＢＳすってはっくん　２回版　【１０月８】 (BS Sutte Hakkun Ver. 2 [10/8]	17:00	20:00	Broadcast Station
12/04/2024	アーケードのベストゲーム：ATARIのコレクション 第一号 (Arcade's Greatest Hits: ATARI Collection Vol. 1)	20:00	23:00	Broadcast Station
12/04/2024	ＢＳ　セント・ギガ　ＰＧ　１０月号 (BS St. Giga PG Oct. Edition)	8:00	23:00	News Building
12/04/2024	ＰＧＡツアーゴルフ (PGA Tour Golf)	11:00	23:00	Stadium
12/04/2024	ロード・オブ・ザ・リング (Lord Of The Rings)	8:00	20:00	Bagpotamia Temple
12/04/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/04/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/05/2024	それ行けエビス丸からくり迷路　消えたゴエモンの謎 (Ebisumaru's Maze)	8:00	11:00	Broadcast Station
12/05/2024	美少女戦士セーラームーンSuperS：フワフワパニック (Pretty Guardian Sailor Moon SuperS: Fuwa Fuwa Panic)	11:00	14:00	Broadcast Station
12/05/2024	エアーマネジメントⅡ航空王をめざせ (Aerobiz Supersonic)	14:00	17:00	Broadcast Station
12/05/2024	Ｌｅｔ’ｓパチンコなんて銀玉４ (Let's Pachinko! #4)	17:00	20:00	Broadcast Station
12/05/2024	超攻合神　ザーディオン (Xardion)	20:00	23:00	Broadcast Station
12/05/2024	チープｄeゴージャス　１本 (Cheap de Gorgeous Vol. 1)	8:00	23:00	News Building
12/05/2024	ジョン・マッデンのプロアメリカンフットボール’９３ (John Madden's Pro American Football '93)	11:00	23:00	Stadium
12/05/2024	ファイナルファンタジーⅣ (Final Fantasy Ⅳ) 	8:00	20:00	Bagpotamia Temple
12/05/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/05/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/05/2024	ＳＮＥＳの電気を続いています！ (Keeping SNES Alive!)	8:00	23:00	Robot Tower
12/05/2024	ラッシング・ビート (Rival Turf!)	8:00	23:00	Telephone Booth
12/06/2024	コラムスⅢ　【任天堂パワーカセット配布版】 (Columns [Nintendo Power Cartridge Distribution Version])	8:00	11:00	Broadcast Station
12/06/2024	エイリアン３ (Alien 3)	11:00	14:00	Broadcast Station
12/06/2024	ザ・ファイヤーメン (The Firemen)	14:00	17:00	Broadcast Station
12/06/2024	ボンバザル (Ka-Blooey)	17:00	20:00	Broadcast Station
12/06/2024	ソニックブラストマン (Sonic Blast Man)	20:00	23:00	Broadcast Station
12/06/2024	コロンボの卵焼き　第2号 (Columbus's Fried Eggs #2)	8:00	23:00	News Building
12/06/2024	Ｆ－１ポールポジション (F-1 Pole Position)	11:00	23:00	Stadium
12/06/2024	エストポリス伝記 (Lufia & The Fortress of Doom)	8:00	20:00	Bagpotamia Temple
12/06/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/06/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
